SerialNumber,Shana,Machoz,Ms_Nefashot,Minn,Gil,MatzavMishp,Pop_Group,DatSafa_C,HesderDiyur,ShnotLimudKlali_C,MatzavTaasuka_C,HachnasaKolelet,HachnasaAvoda,SemelMishlach_wp,OverVashav,OverVaMaakav,OverVaI1,OverVaI2,OverVaI3,OverVaI4,OverVaI5,OverVaI6,OverVaI7,OverVaAcher,OverVaEruim1,OverVaEruim2,OverVaEruim3,HeshbonMaakav,KartisAshKama,KartisAshP1,KartisAshP2,KartisAshP3,KartisAshP4,KartisAshS1,KartisAshS2,KartisAshS3,KartisAshS4,KartisAshS5,KartisAshS6,KartisAshS7,KartisAshNechsam,Mashkanta1,MashkantaMekorot,Halvaa,Halvaa2,Halvaa3,Halvaa4,Halvaa5,Halvaa6,Halvaa7,Halvaa8,Halvaa9,Halvaa10,Hovot,Hovot2,Hovot3,Hovot4,Hovot5,Hovot6,Hovot7,Hovot8,Hovot9,HovotLechatzim,Hashkaot1,Hashkaot2,Hashkaot3,Hashkaot4,Hashkaot5,Hashkaot6,Hashkaot7,Hashkaot8,Hashkaot9,Hashkaot10,HashkaotMaclit,Bituhim1,Bituhim2,Bituhim3,Bituhim4,Bituhim5,Bituhim6,SherutY1,SherutY2,SherutY3,SherutY4,SherutY5,SherutY6,NosCas1,NosCas2,NosCas3,NosCas4,HishuvRibit,HishuvRibitDribit,ShiurRibitBank,HipusM1,HipusM2,HipusM3,HipusM4,HipusM5,HipusM6,HipusM7,HipusM8,HipusM9,NoseCaspiM1,NoseCaspiM2,NoseCaspiM3,NoseCaspiM4,NoseCaspiM5,NoseCaspiM6,NoseCaspiM7,NoseCaspiM8,NoseCaspiM9,NoseCaspiM10,NoseCaspiHarhavaNihul,NoseCaspiHarhavaCarhanut,NoseCaspiHarhavaHalvaot,NoseCaspiHarhavaHishonot,NoseCaspiHarhavaBituhim,NoseCaspiHarhavaMashkanta,NoseCaspiHarhavaEynCoreh,MekorotM1,MekorotM2,MekorotM3,MekorotM4,MekorotM5,MekorotM6,MekorotM7,MekorotM8,MekorotM9,MekorotM10,MakorMuadaf,MakorMahooM,RamatYedaMash,nn
546,2012,1,5,2,3,5,1,3,1,5,2,98,,10,1,1,,,,,,,,2,1,1,1,3,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,3,3,3,3,3,3,3,,,,2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,,5,4,1,1,1,1,1,1,1,,,1,5,1,4,1,2,2,3,4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,1,5,5,3253.018109
547,2012,1,5,2,1,5,1,3,1,4,1,10,4,10,1,4,1,1,,,,,,2,3,2,1,3,4,2,1,2,2,1,1,2,2,1,,,1,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,3,1,2,3,2,2,,,3,4,4,4,1,4,1,2,2,2,2,2,2,3,1,3,3,,5,4,2,2,2,1,1,1,1,,,2,2,2,2,2,3,4,3,2,5,1,0,0,1,1,1,0,1,1,1,2,1,1,2,2,,,1,1,5,2705.164984
548,2012,1,3,2,1,5,1,3,1,4,1,7,3,3,1,4,1,1,2,1,1,,,2,1,1,1,3,3,2,1,1,2,1,2,1,1,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,2,2,1,2,2,,,3,4,4,4,1,4,3,2,2,2,1,2,2,1,1,1,1,,5,4,1,1,,1,1,1,1,,,1,2,3,1,2,4,3,3,3,4,1,0,0,1,0,1,0,2,2,2,2,2,2,2,2,,,,,5,3257.505989
549,2012,1,3,1,2,5,1,3,1,4,3,6,,10,1,3,,1,1,1,,,,1,2,1,1,3,2,2,2,2,2,1,3,1,3,3,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,2,3,3,1,3,3,3,3,,,3,3,3,3,3,3,3,3,3,3,,1,3,3,3,3,3,,5,4,1,1,1,1,1,1,1,,,2,2,2,3,2,2,4,4,3,5,1,0,0,1,1,0,0,3,3,3,3,3,3,3,3,,,,,5,6673.643903
550,2012,1,2,1,3,1,1,3,2,5,1,9,7,4,1,2,1,1,2,1,2,1,אפליקציה באייפון,2,1,1,1,1,3,2,1,2,2,1,1,1,1,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,1,3,2,3,3,1,,,8,1,2,2,1,2,3,2,2,2,2,2,2,3,3,3,3,1200,1,4,2,2,2,1,1,1,1,,,1,5,1,4,1,4,4,2,3,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,1,,5,3275.854979
551,2012,1,2,2,7,3,1,3,2,6,1,5,6,3,1,3,,,,,,,,2,1,2,1,1,2,,1,,,1,,,,,,,2,,,2,1,,,,,,,,,1,,,,,,,,,,2,2,2,1,2,2,2,2,,,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,3,2,1200,2,4,2,1,1,1,1,1,1,,,2,1,1,4,1,2,4,4,4,5,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,,,1,3,5,3856.877806
552,2012,1,4,2,2,1,1,3,2,5,3,5,,10,1,1,,,,,,,,1,,3,,2,4,3,3,3,3,3,3,3,3,3,3,,3,2,,2,1,2,2,2,2,2,1,,,2,1,1,1,3,1,3,,,2,1,3,3,1,1,3,3,3,,,2,1,2,3,1,3,3,2,3,2,3,3,3,3,3,3,3,,4,4,1,1,2,1,1,1,1,,,1,2,1,4,2,1,3,4,3,1,1,0,0,0,1,1,0,2,2,2,2,2,2,2,2,,,,,5,5050.160179
553,2012,1,2,2,2,1,1,3,1,6,1,7,6,1,1,2,1,1,1,1,1,2,,1,5,4,1,2,3,2,1,1,2,1,2,1,3,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,2,1,1,2,,,1,1,2,2,1,2,3,2,2,2,2,2,2,2,1,1,1,200,3,4,1,1,2,1,1,1,1,1,יועץ השקעות בבנק,1,5,1,1,5,5,3,2,1,5,0,0,1,0,0,1,0,2,2,2,2,2,2,2,1,1,בעלי היקר,2,,5,3144.300788
554,2012,1,2,1,11,1,1,3,1,2,3,9,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,4,,,,,,2,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,,5,4,1,1,1,1,1,1,1,,,,1,1,,1,1,,,,,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,,,,,5,5610.248161
555,2012,1,7,2,1,5,1,3,1,5,1,98,1,4,1,4,1,2,1,1,1,,,2,1,1,1,3,2,2,2,2,2,1,2,2,2,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,2,2,2,2,2,,,,4,4,4,,4,,2,2,2,2,2,2,3,3,3,3,1200,1,4,1,1,1,1,1,1,1,,,1,4,1,4,1,1,4,4,4,5,0,0,0,0,1,0,0,2,2,2,2,2,2,2,2,,,,,5,3612.993895
556,2012,1,2,1,11,4,1,3,2,6,3,2,,10,1,4,1,2,2,2,2,2,,2,3,1,1,1,2,2,,1,2,2,1,2,2,2,2,,2,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1020,1,1,3,3,1,1,1,1,1,2,,2,4,2,2,2,2,2,2,2,4,0,0,0,0,1,0,0,1,1,2,2,2,2,2,2,2,,2,,5,6135.616108
557,2012,1,3,1,7,1,1,3,1,5,1,7,5,6,1,3,2,2,2,1,2,,,2,5,1,1,1,2,2,1,2,2,1,2,2,2,2,,,2,1,1,2,1,2,2,1,1,2,2,,,1,,,,,,,,,,2,1,1,1,2,2,2,2,,,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,3,3,,1,1,1,4,1,1,1,1,1,,,2,2,2,4,2,2,5,4,5,5,1,1,0,0,0,0,0,1,1,3,2,1,3,3,2,,,1,5,5,4285.654002
558,2012,1,3,2,10,1,1,3,1,4,3,9,,10,1,1,,,,,,,,1,1,1,1,2,3,2,2,2,2,1,,,,,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,2,,1,1,,,,2,2,2,2,2,2,,,,,,,,1,1,1,1,1,1,1,1,,2,3,2,3,2,3,3,3,3,4,0,1,0,1,0,0,0,,,,,,,,,,,,,5,8593.350765
559,2012,1,2,1,11,1,1,3,1,6,3,5,,10,1,4,1,2,1,2,1,,,2,2,1,1,2,5,3,1,1,2,1,1,1,2,3,2,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,2,2,2,1,2,2,2,2,,,2,2,1,1,1,1,2,2,2,2,2,2,2,3,1,3,3,,1,3,1,1,1,1,1,1,1,,,5,2,5,4,5,5,5,5,5,5,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,,,,,5,6476.77393
560,2012,1,4,1,3,1,1,3,1,4,1,9,7,2,1,2,1,1,1,1,,,,2,5,5,5,1,2,3,3,3,3,1,2,2,2,2,2,,2,2,,2,1,1,1,1,1,1,1,,,2,5,5,5,5,5,5,,,1,2,2,2,1,1,2,2,2,,,7,1,1,2,2,2,2,2,2,2,2,2,2,1,1,3,3,,5,4,1,1,1,1,1,1,1,2,,1,1,3,1,1,3,5,1,1,5,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,2,,,,5,3594.1
561,2012,1,1,2,9,3,1,3,1,6,3,4,,10,1,4,1,1,1,2,2,,,2,5,1,1,1,3,2,1,2,2,2,2,2,2,2,1,"הוצע לי ע""י הבנק לאחר שכרטיס של חברה אחרת לא ענה לדרישתי.",2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,1,2,2,2,2,2,,,1,1,1,1,1,2,2,2,2,2,2,2,2,3,1,1,1,,5,2,2,2,2,1,2,1,1,,,2,2,1,3,1,2,4,4,2,5,1,1,0,0,1,0,0,2,1,1,2,1,2,1,2,,,1,2,5,4344.866096
562,2012,1,2,1,2,1,2,1,1,2,1,3,4,9,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,2,1,4,1,1,1,1,2,,1,2,2,2,2,2,2,2,2,2,,,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1002,1,1,1,1,1,1,1,1,1,2,,2,3,2,3,1,3,2,3,2,4,1,0,0,0,0,0,0,2,2,1,2,1,2,3,3,3,,2,,5,3456.125558
563,2012,1,6,2,2,1,2,1,2,4,3,5,,10,1,4,2,2,2,2,1,2,,2,1,1,1,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1020,1,1,2,1,2,1,1,1,1,2,,1,3,1,4,2,2,5,5,3,5,0,1,0,0,0,0,0,1,1,2,2,1,2,1,2,1,1,1,5,5,5347.438916
564,2012,1,6,2,4,3,2,1,2,2,3,2,,10,1,1,,,,,,,,2,1,3,2,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,2,1,4,1,3,1,1,,,1,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,,3,1,1,2,1,1,1,1,1,2,,2,1,2,4,2,3,4,5,4,5,0,0,0,0,0,0,1,3,1,2,2,2,2,2,2,2,,1,2,5,4983.155129
565,2012,1,7,1,5,1,2,1,4,5,1,5,4,9,1,3,2,2,1,2,2,2,,2,1,1,1,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,1,1,1,2,2,2,2,2,,1,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,,5,4,1,1,1,1,1,1,1,2,,1,5,1,5,2,1,5,5,5,5,1,1,0,0,0,0,0,3,3,1,3,2,1,1,2,,,2,,5,4354.636495
566,2012,1,3,2,7,5,2,1,1,4,3,3,,10,1,4,2,2,1,2,1,2,,2,1,1,1,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,,5,1,1,1,1,1,1,1,1,2,,1,3,1,4,2,3,5,5,3,5,1,1,0,0,0,0,0,1,1,2,2,2,2,2,2,2,,2,,5,4017.887565
567,2012,1,7,2,8,1,2,1,1,2,3,5,,10,1,1,,,,,,,,1,1,1,1,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,1020,1,1,1,2,1,1,1,1,1,2,,1,3,1,4,1,2,5,5,4,5,1,0,0,0,0,0,0,1,1,3,3,3,2,2,2,2,,1,2,5,6951.653938
568,2012,2,5,1,6,1,1,3,3,5,1,8,5,3,1,1,,,,,,,,1,2,,,2,4,2,3,2,1,1,1,1,1,2,2,,2,1,1,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,1,1,1,1,3,3,2,3,3,,2,1,1,1,1,3,3,2,1,2,2,3,3,1,1,3,3,,5,4,1,1,1,1,1,1,1,2,,2,3,2,2,2,2,5,5,5,5,1,1,0,1,0,1,0,1,2,1,2,1,1,2,2,2,,1,1,5,3558.98076
569,2012,2,5,1,5,1,1,3,1,4,1,5,5,6,1,2,1,1,1,1,1,1,,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,2,2,2,2,2,,,1,1,1,1,1,2,1,2,2,2,1,2,2,3,3,3,3,,4,4,1,1,1,1,1,1,1,1,,1,2,2,2,2,3,4,3,2,3,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,,,,,5,4397.541714
570,2012,2,4,2,6,1,1,3,3,6,1,8,8,1,1,2,1,1,1,1,1,,,2,1,1,1,1,3,2,1,2,2,1,2,1,1,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,,1,2,2,,,1,1,1,1,1,,2,2,2,2,1,2,1,3,1,3,1,200,5,3,2,2,2,,2,1,1,,,,,,,,,,,1,4,0,0,0,1,0,0,0,2,1,1,,,,,,,,1,3,5,4371.43174
571,2012,2,2,1,11,1,1,3,3,6,3,5,,10,1,2,2,1,2,1,2,,,2,1,1,1,1,3,2,1,1,2,2,2,2,2,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,2,2,2,2,2,,,1,1,2,2,1,2,2,2,2,2,2,2,2,3,1,3,3,1020,1,3,2,2,1,1,1,1,1,2,,1,4,1,4,2,2,3,4,3,4,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,,,,5,6476.77393
572,2012,2,3,2,1,5,1,3,3,4,1,10,4,6,1,2,1,1,1,1,1,,,1,2,2,3,3,2,2,1,2,2,,,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,2,2,2,2,,3,2,2,2,1,2,2,2,2,2,2,1,2,3,1,3,1,,1,4,1,1,1,1,1,1,1,2,,,2,5,4,2,3,5,5,5,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,,,1,8,5,2821.685175
573,2012,2,5,2,2,1,1,3,2,4,1,3,11,4,1,1,,,,,,,,2,5,5,1,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,2,,3,,,,,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,,2,4,1,1,1,1,1,1,1,1,,1,1,1,5,2,2,3,4,3,5,1,1,0,1,0,0,0,1,1,3,1,1,3,1,1,,,1,1,5,3991.042731
574,2012,2,3,2,4,4,1,3,2,3,1,3,3,6,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,1,2,2,2,2,2,1,1,,2,1,1,3,3,1,4,,,1,1,1,2,1,2,2,2,2,2,,,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,200,5,4,1,1,3,1,1,1,1,1,,3,1,3,4,1,3,3,4,3,2,1,0,0,0,0,0,0,2,2,1,2,2,2,2,2,,,,,5,4259.961895
575,2012,2,5,1,5,1,1,3,1,4,1,7,5,6,1,1,,,,,,,,1,,,,2,1,,,,,,,,,,,,,1,6,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,3,3,3,3,3,3,3,3,3,,5,4,1,1,1,1,1,1,1,1,,2,,2,3,2,3,,,4,,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,,,,5,4397.541714
576,2012,2,5,1,1,5,1,3,1,4,3,10,,10,1,4,1,1,2,2,2,2,,2,1,1,1,3,2,2,1,2,2,3,1,1,1,1,2,,2,2,,1,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,2,2,2,,,4,4,4,1,4,1,2,2,2,2,2,2,3,3,3,3,,5,1,1,1,1,1,1,1,1,,,2,4,2,3,2,3,3,3,4,5,1,1,0,1,0,0,0,1,2,1,1,1,1,2,1,3,,1,1,5,2936.709488
577,2012,2,3,2,7,3,1,3,1,5,1,7,7,1,1,2,1,1,1,1,1,,,2,1,1,1,1,4,1,1,2,2,1,2,2,2,2,,,2,2,,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,1,1,1,1,2,1,1,1,,,1,1,1,1,1,2,1,2,2,2,2,2,2,3,1,1,1,1020,3,4,1,1,1,1,1,1,1,,,1,4,1,4,2,2,3,4,4,3,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,,,,5,4559.723421
578,2012,2,1,1,8,3,1,3,1,,1,1,1,5,1,1,,,,,,,,2,5,1,1,1,1,,,,,,,,,,,,,2,,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,2,2,1,2,2,2,2,2,2,,1,2,2,2,1,2,2,2,2,2,2,2,2,3,1,1,1,1020,2,4,1,1,1,1,1,1,1,1,,1,1,1,4,3,5,5,4,2,3,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,,,,5,4198.140511
579,2012,2,1,1,4,5,1,3,1,4,1,6,7,6,1,3,2,2,2,1,2,,,2,1,1,1,1,2,2,1,2,2,1,1,2,2,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,2,2,,,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1020,2,4,1,1,1,1,1,1,1,,,2,4,2,3,3,3,4,4,3,4,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,,,,5,3835.349376
580,2012,2,3,2,2,1,1,3,1,5,1,6,2,1,1,2,2,1,2,2,2,,,1,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,,2,2,,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,2,2,1,2,2,2,2,2,2,,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,,5,4,1,1,1,1,1,1,1,1,,3,4,1,4,2,3,4,4,4,5,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,,,,,5,3598.358031
581,2012,2,1,2,7,3,1,3,1,6,1,2,3,1,1,4,,,,,,,,2,1,1,1,7,1,,,,,,,,,,,,,1,1,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,2,2,1,2,2,2,2,2,,,8,2,1,2,2,1,1,2,1,1,2,1,2,3,3,3,3,,5,4,1,1,1,1,1,1,1,1,,1,1,1,4,1,1,5,3,3,5,0,0,1,1,1,1,0,,,1,,1,1,3,3,3,,2,,5,4269.658466
582,2012,2,2,2,9,1,1,3,1,2,3,2,,10,1,4,2,2,2,2,1,,,2,1,1,1,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,,2,2,2,2,2,2,2,2,,,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,,5,4,1,1,1,1,1,1,1,1,,1,2,1,3,2,2,5,5,5,5,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,,,,5,5253.064674
583,2012,2,6,1,4,1,2,1,1,4,1,10,10,6,1,3,,,,,1,,,2,1,1,1,1,3,,1,,,3,3,3,3,3,,,2,2,,2,1,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,1,2,2,2,2,2,,,,,,,1,1,2,2,,5,4,1,1,1,1,1,1,1,2,,1,1,3,3,,,2,,2,1,0,0,0,0,0,0,1,,,,,,,,,,,,,5,4354.636495
584,2012,2,5,2,1,5,1,3,1,4,1,7,6,4,1,3,1,2,2,1,1,2,,1,2,1,1,3,2,2,1,2,2,1,2,1,1,1,2,,2,1,4,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,2,2,2,2,2,,1,2,2,2,1,2,1,2,2,2,1,1,2,3,3,2,1,,5,4,1,1,2,1,1,1,1,2,,3,3,2,2,3,3,4,4,4,4,1,1,0,1,0,0,0,1,1,1,2,2,1,1,1,2,,1,8,5,3122.988778
585,2012,2,4,2,1,5,1,3,1,4,3,98,,10,1,4,2,2,1,1,2,,,1,1,1,1,3,2,3,2,2,2,1,1,3,3,3,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,2,2,2,2,2,,,8,2,2,2,2,2,2,2,2,2,1,2,2,3,3,3,3,,5,1,1,1,1,1,1,1,1,,,2,4,5,3,5,3,4,4,4,5,0,1,0,0,0,0,0,2,2,1,1,2,2,3,2,,,2,,5,3612.993895
586,2012,2,3,1,8,1,1,3,1,6,1,99,98,0,2,,,,,,,,,,,,,1,3,2,1,2,2,1,1,2,2,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,,,,,4,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1020,1,1,2,1,1,1,3,3,1,,,1,4,2,4,1,1,2,2,4,2,0,0,0,1,0,0,0,1,1,1,3,1,1,,,,,1,5,5,4316.626518
587,2012,2,5,2,4,1,2,1,1,5,1,7,3,4,1,1,,,,,,,,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,,,2,1,2,2,1,2,2,2,2,2,1,,,2,,,,,,,1,לא צויין,2,1,1,2,1,2,2,2,2,,,2,2,2,2,1,2,1,2,2,2,2,2,2,3,1,3,3,,5,4,1,4,2,1,1,1,1,,,2,2,2,4,2,2,5,4,4,5,1,0,0,0,1,0,0,1,1,1,2,2,2,2,2,,,1,1,5,2376.914412
588,2012,2,4,1,9,1,2,1,4,2,3,1,,10,1,2,1,2,1,2,1,,,1,5,4,2,1,1,,,,,,,,,,,,,2,,2,1,2,2,2,2,2,2,,,2,5,1,5,4,2,,,,1,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,,5,1,1,1,1,1,1,1,1,,,2,1,2,4,1,2,2,,4,4,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,,,,5,7193.573778
589,2012,2,6,2,6,1,2,1,1,5,3,3,,10,1,5,1,2,1,2,1,,,2,1,5,1,2,2,1,2,2,2,2,2,2,1,3,,,1,2,,1,,,,,,,,,,2,1,1,4,1,1,,,,2,1,2,2,2,2,2,2,2,,,2,1,2,2,3,2,2,2,1,2,2,2,2,1,1,2,3,,4,2,1,1,1,1,1,1,1,,,2,2,3,2,2,2,4,5,4,5,1,0,0,0,0,0,0,2,1,3,3,3,3,3,3,,,,,5,7022.710813
590,2012,2,7,1,1,5,2,1,1,5,1,7,5,6,1,2,2,2,2,1,,1,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,,5,4,3,5,1,1,1,1,1,,,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,,,1,1,5,2750.797275
591,2012,2,7,1,5,1,2,1,1,4,1,5,7,6,2,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,,2,1,2,2,2,2,2,2,,,2,2,5,5,4,1,,,,2,2,2,2,2,2,2,2,2,,,,1,2,2,2,2,2,1,2,2,2,2,2,3,1,3,1,,5,4,1,5,1,1,1,1,1,,,1,1,3,4,1,3,2,3,5,5,0,1,0,0,0,0,0,3,1,2,3,3,3,3,3,,,1,2,5,4354.636495
592,2012,2,4,2,3,1,2,1,1,5,3,4,,10,1,4,1,2,1,2,1,,,1,5,5,1,2,2,2,2,1,2,1,1,3,1,3,,,2,2,,2,1,2,2,2,2,2,2,,,2,3,1,1,1,1,,,,2,1,2,2,2,2,2,2,2,,,2,1,2,2,2,2,1,2,2,2,2,2,2,3,1,3,1,,3,4,4,5,1,1,1,1,1,,,3,3,2,4,3,3,4,3,4,5,0,1,0,0,0,0,0,1,1,1,2,3,2,2,2,,,1,1,5,5681.653848
593,2012,2,5,1,7,1,2,2,4,4,1,7,4,6,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,1,,,2,2,2,2,2,2,3,1,3,3,,4,1,1,1,1,1,1,1,1,,,1,1,2,4,1,1,3,4,4,4,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,,,,,5,2907.376738
594,2012,2,7,1,5,1,2,1,4,2,1,1,2,6,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,2,5,5,5,1,1,1,,,2,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,1020,2,1,3,1,2,1,1,1,1,,,3,1,4,2,1,4,2,1,3,5,1,0,0,1,1,0,0,1,1,1,2,2,1,1,2,,,1,1,5,4124.201018
595,2012,2,4,2,2,1,2,1,4,3,2,3,,10,1,4,2,2,1,1,2,2,,1,1,1,5,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,2,1,1,5,1,1,,,,1,2,2,2,2,2,2,2,2,,,,1,2,2,1,2,2,2,2,2,2,2,2,3,2,3,1,,5,4,1,3,1,1,1,1,1,,,2,2,2,4,2,2,2,4,2,5,1,0,0,0,0,0,0,1,1,2,3,3,3,3,3,,,,,5,1641.283877
596,2012,2,3,2,8,4,2,1,4,2,3,3,,10,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,1020,5,1,1,1,1,1,1,1,1,,,2,2,2,4,2,2,5,2,2,5,0,0,0,0,0,0,1,2,2,1,2,2,2,2,2,,,1,3,5,4553.605907
597,2012,2,7,2,5,1,2,1,1,3,3,5,,10,1,2,2,2,2,2,1,,,2,1,,,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,1,,5,1,1,1,1,1,1,1,1,,,1,2,2,3,1,1,1,3,4,5,1,0,0,0,1,0,0,1,1,2,2,1,2,2,2,,,1,2,5,6389.066019
598,2012,2,7,2,3,1,2,1,4,6,3,2,,10,1,3,2,2,1,1,1,,,2,1,1,1,3,2,2,1,2,2,1,2,1,1,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,1,,4,4,2,4,5,2,2,1,1,,,1,1,1,4,1,1,3,4,4,5,1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,,,1,3,5,5380.996236
599,2012,2,7,2,6,1,2,1,1,3,3,5,,10,1,4,,,,,1,,,2,1,1,1,1,1,,,,,,,,,,,,,2,,1,,,,,,,,,,2,1,1,1,4,1,,,,1,2,2,2,2,2,2,2,2,,,,4,4,4,2,4,2,2,2,2,2,2,2,1,1,2,2,1120,1,1,2,4,1,2,4,1,1,,,5,5,3,4,1,2,5,3,4,2,0,0,0,1,1,1,0,1,2,1,3,1,1,2,1,,,1,1,5,7415.097533
